regionCode, title, population, 2021-01-04, 2021-01-11, 2021-01-18, 2021-01-25, 2021-02-01, 2021-02-08, 2021-02-15, 2021-02-22, 2021-03-01, 2021-03-08, 2021-03-15, 2021-03-22, 2021-03-29, 2021-04-05, 2021-04-12, 2021-04-19, 2021-04-26, 2021-05-03, 2021-05-10, 2021-05-17, 2021-05-24, 2021-05-31, 2021-06-07, 2021-06-14, 2021-06-21, 2021-06-28, 2021-07-05, 2021-07-12, 2021-07-19, 2021-07-26, 2021-08-02, 2021-08-09, 2021-08-16, 2021-08-23, 2021-08-30, 2021-09-06, 2021-09-13, 2021-09-20, 2021-09-27, 2021-10-04, 2021-10-11, 2021-10-18, 2021-10-25, 2021-11-01, 2021-11-08, 2021-11-15, 2021-11-22, 2021-11-29, 2021-12-06, 2021-12-13, 2021-12-20, 2021-12-27, 2022-01-03, 2022-01-10, 2022-01-17, 2022-01-24, 2022-01-31
WK045307, Wijk 07 Santpoort-Zuid, 3000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 9, 10, 12, 14, 18, 22, 26, 29, 36, 41, 45, 52, 58, 62, 65, 70, 73, 75, 77, 78, 79, 79, 80, 80, 80, 80, 81, 81, 82, 82, 82, 82, 83, 83, 84, 84, 84, 84, 84, 84, 84, 84
WK190003, Wijk 03 Koudum, 2991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 9, 12, 14, 16, 19, 26, 30, 36, 38, 47, 48, 53, 56, 58, 60, 63, 65, 66, 66, 66, 67, 67, 67, 67, 68, 68, 68, 68, 68, 68, 69, 69, 69, 69, 69, 69, 70, 70, 70, 70, 70
WK039808, Wijk 08 Edelstenenwijk, 2977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 12, 16, 21, 25, 29, 35, 38, 45, 50, 55, 58, 62, 65, 66, 67, 68, 68, 68, 69, 69, 69, 70, 70, 70, 71, 71, 71, 71, 72, 72, 72, 72, 73, 73, 73, 73, 73, 73
WK045704, Aetsveld, 2981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 10, 15, 21, 28, 33, 38, 46, 48, 54, 59, 63, 68, 72, 74, 75, 76, 76, 77, 77, 77, 78, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 81, 81, 81, 81, 81, 81
WK085514, Fatima, 3045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 10, 14, 17, 20, 24, 27, 32, 35, 38, 44, 49, 54, 62, 67, 68, 70, 71, 72, 72, 73, 73, 74, 74, 74, 75, 75, 75, 76, 76, 76, 76, 77, 77, 77, 77, 77, 77, 77, 77
WK194041, Wijk 41 Sint Nicolaasga, 2956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 12, 12, 13, 16, 18, 20, 25, 29, 31, 34, 40, 46, 48, 53, 57, 60, 62, 65, 67, 68, 69, 70, 70, 71, 71, 71, 71, 71, 72, 72, 72, 72, 73, 73, 73, 74, 74, 74, 74, 74, 74, 74, 75
WK050208, Schollevaar Noord, 2977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 9, 10, 13, 16, 20, 25, 29, 32, 39, 42, 49, 53, 57, 60, 64, 65, 66, 66, 67, 67, 67, 67, 67, 68, 68, 68, 68, 68, 69, 69, 69, 69, 70, 70, 70, 70, 70, 71, 71, 71
WK053006, Wijk 06 Ravense Hoek, 2948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 10, 12, 17, 21, 26, 32, 36, 41, 50, 55, 59, 62, 67, 70, 71, 72, 72, 73, 74, 74, 74, 75, 75, 75, 75, 76, 76, 76, 76, 76, 77, 77, 77, 77, 77, 77, 77, 78
WK001405, Zuidoost, 2952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 7, 8, 10, 12, 14, 17, 21, 24, 26, 30, 34, 43, 47, 53, 57, 62, 68, 72, 76, 77, 77, 77, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 80, 81, 81, 81, 81, 81, 81, 81, 82, 82, 82
WK018001, Wijk 01 Rouveen (kern), 2946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 9, 11, 14, 16, 19, 23, 27, 34, 39, 43, 46, 48, 51, 52, 52, 53, 53, 54, 54, 54, 55, 55, 56, 56, 57, 58, 58, 58, 59, 60, 60, 60, 60, 60, 60, 60, 60, 60
WK039811, Wijk 11 Rivierenwijk, 2953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 10, 12, 15, 19, 22, 29, 34, 39, 42, 47, 50, 52, 53, 53, 54, 54, 55, 55, 56, 56, 57, 57, 57, 57, 58, 58, 59, 59, 59, 60, 60, 60, 60, 60, 60, 61
WK196610, Wijk 10, 2941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 9, 10, 12, 14, 19, 24, 28, 32, 37, 40, 48, 50, 56, 60, 62, 65, 69, 72, 73, 74, 74, 74, 75, 75, 75, 75, 76, 76, 76, 76, 77, 77, 77, 77, 78, 78, 78, 78, 78, 78, 78, 78
WK037505, Noordwestelijk tuinbouwgebied, 2954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 8, 11, 14, 19, 23, 28, 33, 40, 44, 48, 53, 57, 61, 66, 69, 70, 71, 72, 72, 73, 73, 73, 73, 74, 74, 75, 75, 75, 75, 76, 76, 76, 77, 77, 77, 77, 78, 78, 78, 78
WK191115, Winkel, 2946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 9, 13, 17, 21, 22, 30, 33, 38, 39, 47, 51, 55, 58, 62, 63, 64, 65, 66, 66, 67, 67, 67, 68, 68, 68, 69, 69, 70, 70, 71, 71, 71, 71, 71, 72, 72, 72, 72, 72
WK027402, Renkum Noord, 2961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 10, 12, 14, 18, 25, 32, 38, 45, 48, 50, 56, 60, 63, 68, 71, 72, 73, 75, 75, 76, 76, 76, 76, 77, 77, 77, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80
WK034202, Wijk 02 Klaarwater, 2956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 10, 12, 13, 15, 17, 20, 25, 29, 33, 37, 42, 45, 51, 55, 58, 63, 67, 68, 69, 70, 70, 71, 71, 72, 72, 73, 73, 73, 73, 74, 74, 74, 75, 75, 75, 75, 75, 76, 76, 76, 76, 76
WK196305, Maasdam, 2962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 7, 9, 12, 15, 19, 24, 28, 31, 35, 41, 47, 53, 56, 60, 63, 66, 68, 69, 70, 70, 71, 72, 72, 72, 72, 72, 73, 73, 73, 73, 73, 74, 74, 74, 74, 75, 75, 75, 75, 75, 75
WK082613, Wijk 13 Dorst, 2949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 8, 9, 10, 12, 14, 18, 24, 29, 34, 39, 44, 48, 51, 57, 61, 67, 73, 77, 78, 79, 80, 80, 81, 81, 81, 82, 82, 82, 82, 82, 83, 83, 83, 83, 83, 83, 83, 83, 84, 84, 84, 84, 84
WK030730, Vathorst-De Bron, 2923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 11, 13, 16, 18, 23, 28, 39, 46, 53, 61, 66, 68, 71, 71, 72, 72, 73, 73, 74, 74, 75, 75, 75, 76, 76, 77, 77, 77, 78, 78, 78, 79, 79, 79, 79, 79
WK008062, Dokkumer Ie e.o., 2927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 9, 11, 15, 19, 22, 26, 32, 36, 43, 49, 56, 59, 62, 63, 66, 69, 71, 71, 72, 73, 73, 74, 74, 74, 74, 75, 75, 75, 75, 75, 75, 76, 76, 76, 76, 76, 76, 76, 76, 76
WK036367, Kadoelen, 2933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 11, 14, 18, 22, 26, 33, 37, 41, 48, 53, 57, 61, 64, 66, 67, 68, 68, 69, 69, 70, 70, 70, 71, 71, 71, 72, 72, 72, 73, 73, 73, 74, 74, 74, 74, 74, 74, 75
WK171109, Wijk 09 Nieuwstadt, 2930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 7, 10, 16, 21, 25, 30, 35, 41, 44, 47, 50, 55, 60, 64, 67, 72, 73, 74, 75, 76, 76, 77, 77, 77, 77, 78, 78, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80
WK196009, Heukelum, 2941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 8, 11, 15, 20, 25, 31, 37, 41, 45, 49, 53, 57, 60, 64, 68, 69, 70, 71, 71, 72, 72, 73, 73, 73, 73, 74, 74, 74, 74, 74, 75, 75, 75, 76, 76, 76, 76, 76, 77, 77
